ticker,Type,Spot,Strike,Expiry,Vol,r,NumberOfPaths,ExpectedPrice,Tolerance
Basic1,call,42,40,0.5,0.2,0.1,10000,4.76,0.05
Basic2,put,42,40,0.5,0.2,0.1,10000,0.81,0.05
VFF1,call,1.40,6,0.5,0.99,0.1,10000,0.01,0.07
VFF2,put,1.07,6,0.5,5.12,0.1,10000,5.8,0.29
CTAS1,call,676.85,670,0.5,0.1953,0.1,10000,56.7,0.05
CTAS2,put,676.85,670,0.5,0.2109,0.1,10000,32.35,1.52
RBLX1,call,36.49,35,1,0.5508,0.1,10000,10.18,0.51
RBLX2,put,36.49,35,1,0.5507,0.1,10000,6.8,0.34
MSFT1,call,420.75,420,0.5,0.2385,0.1,10000,35.68,1.8
MSFT2,put,420.75,420,0.5,0.2477,0.1,10000,25.1,1.3
SBUX1,call,90.07,90,1,0.216,0.1,10000,11.28,0.6
SBUX2,put,90.07,90,1,0.2854,0.1,10000,8.9,0.45
ABBV1,call,179.86,175,0.5,0.1665,0.1,10000,15.43,0.78
ABBV2,put,179.86,175,0.5,0.2495,0.1,10000,9.3,0.5
